Date,Close Price
7/5/2017,2629.27
7/6/2017,2619.11
7/7/2017,2521.24
7/8/2017,2579.93
7/9/2017,2525.67
7/10/2017,2371.96
7/11/2017,2332.19
7/12/2017,2423.16
7/13/2017,2364.52
7/14/2017,2232.65
7/15/2017,1993.26
7/16/2017,1938.94
7/17/2017,2244.26
7/18/2017,2327.9
7/19/2017,2294.4
7/20/2017,2877.39
7/21/2017,2694.29
7/22/2017,2838.81
7/23/2017,2762.63
7/24/2017,2779.04
7/25/2017,2591.22
7/26/2017,2550.18
7/27/2017,2697.47
7/28/2017,2805.18
7/29/2017,2720.08
7/30/2017,2746.33
7/31/2017,2873.83
8/1/2017,2735.59
8/2/2017,2723.58
8/3/2017,2814.36
8/4/2017,2883.68
8/5/2017,3301.76